m1,mut3,cG,cuG_33,cqu1_1133,cuu_3333,cqq1_3333,cqd1_3311,cqu8_3311,cqu8_1133,cHBox,cHB,cHG,cuH_33,cHq1_33
0.60,1.20,1.62590e-05,-1.66470e-05,2.59315e-09,-8.66782e-06,-4.52210e-06,2.03502e-07,-1.07309e-04,-7.47269e-05,-6.42675e-04,5.11259e-05,1.69455e-04,-5.41844e-05,1.33150e-05
0.60,1.30,1.38538e-05,-1.46307e-05,6.60907e-09,-7.52789e-06,-3.85315e-06,1.73399e-07,-9.14351e-05,-6.33227e-05,-5.47604e-04,4.35629e-05,1.44387e-04,-4.67287e-05,1.17105e-05
0.60,1.40,1.19454e-05,-1.29494e-05,8.86197e-09,-6.61457e-06,-3.32236e-06,1.49512e-07,-7.88395e-05,-5.43480e-05,-4.72169e-04,3.75619e-05,1.24497e-04,-4.06930e-05,1.03707e-05
0.60,1.50,1.04057e-05,-1.15343e-05,1.00389e-08,-5.86833e-06,-2.89414e-06,1.30242e-07,-6.86779e-05,-4.71587e-05,-4.11312e-04,3.27205e-05,1.08451e-04,-3.57416e-05,9.24179e-06
0.60,1.60,9.14568e-06,-1.03333e-05,1.05533e-08,-5.24860e-06,-2.54368e-06,1.14470e-07,-6.03615e-05,-4.13104e-05,-3.61504e-04,2.87583e-05,9.53183e-05,-3.16320e-05,8.28280e-06
0.60,1.70,8.10136e-06,-9.30608e-06,1.06589e-08,-4.72686e-06,-2.25322e-06,1.01399e-07,-5.34690e-05,-3.64891e-05,-3.20225e-04,2.54745e-05,8.44342e-05,-2.81852e-05,7.46197e-06
0.60,1.80,7.22621e-06,-8.42133e-06,1.05144e-08,-4.28249e-06,-2.00982e-06,9.04455e-08,-4.76930e-05,-3.24673e-05,-2.85633e-04,2.27226e-05,7.53132e-05,-2.52671e-05,6.75451e-06
0.60,1.90,6.48558e-06,-7.65432e-06,1.02203e-08,-3.90023e-06,-1.80383e-06,8.11755e-08,-4.28048e-05,-2.90773e-05,-2.56358e-04,2.03937e-05,6.75941e-05,-2.27757e-05,6.14086e-06
0.60,2.00,5.85323e-06,-6.98540e-06,9.84046e-09,-3.56856e-06,-1.62795e-06,7.32609e-08,-3.86313e-05,-2.61932e-05,-2.31363e-04,1.84053e-05,6.10037e-05,-2.06323e-05,5.60544e-06
0.60,2.10,5.30906e-06,-6.39880e-06,9.41608e-09,-3.27858e-06,-1.47660e-06,6.64498e-08,-3.50398e-05,-2.37190e-05,-2.09853e-04,1.66942e-05,5.53322e-05,-1.87754e-05,5.13571e-06
0.60,2.20,4.83738e-06,-5.88176e-06,8.97346e-09,-3.02336e-06,-1.34542e-06,6.05462e-08,-3.19267e-05,-2.15804e-05,-1.91209e-04,1.52110e-05,5.04163e-05,-1.71565e-05,4.72153e-06
0.60,2.30,4.42589e-06,-5.42385e-06,8.52932e-09,-2.79739e-06,-1.23097e-06,5.53958e-08,-2.92108e-05,-1.97192e-05,-1.74944e-04,1.39171e-05,4.61276e-05,-1.57368e-05,4.35460e-06
0.60,2.40,4.06475e-06,-5.01651e-06,8.09413e-09,-2.59625e-06,-1.13052e-06,5.08756e-08,-2.68273e-05,-1.80894e-05,-1.60669e-04,1.27815e-05,4.23637e-05,-1.44852e-05,4.02811e-06
0.60,2.50,3.74607e-06,-4.65267e-06,7.67422e-09,-2.41633e-06,-1.04189e-06,4.68870e-08,-2.47241e-05,-1.66542e-05,-1.48072e-04,1.17794e-05,3.90424e-05,-1.33762e-05,3.73640e-06
0.60,2.60,3.46345e-06,-4.32643e-06,7.27321e-09,-2.25469e-06,-9.63287e-07,4.33496e-08,-2.28588e-05,-1.53835e-05,-1.36901e-04,1.08907e-05,3.60969e-05,-1.23892e-05,3.47478e-06
0.60,2.70,3.21165e-06,-4.03283e-06,6.89294e-09,-2.10889e-06,-8.93253e-07,4.01980e-08,-2.11969e-05,-1.42533e-05,-1.26948e-04,1.00989e-05,3.34725e-05,-1.15069e-05,3.23929e-06
0.70,0.30,2.60144e-04,-7.11850e-05,-3.24631e-06,-1.81819e-04,-7.23535e-05,3.25604e-06,-1.71695e-03,-1.45717e-03,-1.02828e-02,8.18014e-04,2.71128e-03,-4.37132e-04,5.33582e-05
0.70,0.40,1.46331e-04,-5.73595e-05,-1.39234e-06,-9.01432e-05,-4.06989e-05,1.83152e-06,-9.65783e-04,-7.85156e-04,-5.78407e-03,4.60133e-04,1.52509e-03,-3.03286e-04,4.41832e-05
0.70,0.50,9.36517e-05,-4.68227e-05,-6.79559e-07,-5.27561e-05,-2.60473e-05,1.17217e-06,-6.18101e-04,-4.85672e-04,-3.70181e-03,2.94485e-04,9.76059e-04,-2.21961e-04,3.65513e-05
0.70,0.60,6.50359e-05,-3.87292e-05,-3.59075e-07,-3.45586e-05,-1.80884e-05,8.14010e-07,-4.29237e-04,-3.28296e-04,-2.57070e-03,2.04503e-04,6.77819e-04,-1.68932e-04,3.04665e-05
0.70,0.70,4.77815e-05,-3.24361e-05,-1.99349e-07,-2.45352e-05,-1.32894e-05,5.98048e-07,-3.15358e-04,-2.36070e-04,-1.88868e-03,1.50247e-04,4.97990e-04,-1.32527e-04,2.56416e-05
0.70,0.80,3.65827e-05,-2.74778e-05,-1.13742e-07,-1.84765e-05,-1.01747e-05,4.57881e-07,-2.41446e-04,-1.77648e-04,-1.44602e-03,1.15033e-04,3.81273e-04,-1.06522e-04,2.17950e-05
0.70,0.90,2.89049e-05,-2.35200e-05,-6.53453e-08,-1.45385e-05,-8.03928e-06,3.61782e-07,-1.90772e-04,-1.38413e-04,-1.14253e-03,9.08904e-05,3.01253e-04,-8.73422e-05,1.87010e-05
0.70,1.00,2.34129e-05,-2.03217e-05,-3.68767e-08,-1.18265e-05,-6.51182e-06,2.93044e-07,-1.54525e-04,-1.10837e-04,-9.25451e-04,7.36212e-05,2.44015e-04,-7.28194e-05,1.61872e-05
0.70,1.10,1.93495e-05,-1.77073e-05,-1.96322e-08,-9.86948e-06,-5.38167e-06,2.42185e-07,-1.27707e-04,-9.07384e-05,-7.64836e-04,6.08440e-05,2.01665e-04,-6.15767e-05,1.41245e-05
0.70,1.20,1.62590e-05,-1.55477e-05,-8.96917e-09,-8.40250e-06,-4.52210e-06,2.03502e-07,-1.07309e-04,-7.56467e-05,-6.42675e-04,5.11259e-05,1.69455e-04,-5.27072e-05,1.24156e-05
0.70,1.30,1.38538e-05,-1.37464e-05,-2.29257e-09,-7.26813e-06,-3.85315e-06,1.73399e-07,-9.14351e-05,-6.40308e-05,-5.47604e-04,4.35629e-05,1.44387e-04,-4.55946e-05,1.09869e-05
0.70,1.40,1.19454e-05,-1.22305e-05,1.90517e-09,-6.36819e-06,-3.32236e-06,1.49512e-07,-7.88395e-05,-5.49014e-05,-4.72169e-04,3.75619e-05,1.24497e-04,-3.98089e-05,9.78249e-06
